Longitude,Latitude,Field,Dataset,Product,Obj. Id,Swth Wdth(m),Distance(m),Duration(s),Track(deg),Elevation(m),Area Count,Time,Y Offset(m),Pass Num,Speed(km/h),Hex Shaft Er(%),Good Ride(%),DF Gauge W(N),DF Margin(N),Good Contact(%),Tgt Rate(ksds/ha),Soil OM(%),Soil Mois(%),Furr Qual(%),Clean Furr(%),Soil Temp(°C),Singulation(%),Skips(%),Doubles(%),Proper Spacing(%),Spac Vartn(%),Yield Loss(L/ha),Rt Apd Ct(ksds/ha),SeedFlow(ksds/s),Active Rows((1)),Seed Space(cm),Prod(ha/h),Date,Sing Qual,Rate Qual
142.1350406,-36.7426661,V51,field_map_2022_04_01_000,Timok,24,24.38,1.94,1,185,126.9,On,1/04/2022,0,2,6.949,0,100,0,0,100,4583.1,2.1,32,88.5,87.53,18.46,82,18,0.1,100,2.7,0,512.16,0.051,64,5.125,17.03,1/04/2022,Skip,Under Target
142.1350387,-36.7426832,V51,field_map_2022_04_01_000,Timok,25,24.38,1.908,1,185,126.9,On,1/04/2022,0,2,6.941,0,100,0,0,100,4776.5,2.08,32.58,90.45,88.7,18.46,81.8,18.2,0.1,100,2.7,0,521.76,0.052,64,5.03,16.75,1/04/2022,Skip,Under Target
142.1350349,-36.74270033,V51,field_map_2022_04_01_000,Timok,26,24.38,1.925,1,184,126.9,On,1/04/2022,0,2,6.944,0,100,0,0,100,4773.1,2.14,33.4,93.7,90.2,18.4,81.2,18.8,0.1,100,2.7,0,524.25,0.052,64,5.007,16.9,1/04/2022,Skip,Under Target
142.1350312,-36.7427174,V51,field_map_2022_04_01_000,Timok,27,24.38,1.914,1,183,126.9,On,1/04/2022,0,2,6.946,0,100,0,0,100,4785.9,2.15,35.15,95.83,88.78,18.51,81.3,18.7,0.1,100,2.7,0,537.94,0.054,64,4.879,16.8,1/04/2022,Skip,Under Target
142.1350279,-36.74273481,V51,field_map_2022_04_01_000,Timok,28,24.38,1.946,1,182,126.9,On,1/04/2022,0,2,6.946,0,100,0,0,100,4849.1,2.13,33.88,93.4,86.97,18.79,81.1,18.9,0.1,100,2.7,0,545.03,0.055,64,4.816,17.08,1/04/2022,Skip,Under Target
142.1350276,-36.74275211,V51,field_map_2022_04_01_000,Timok,29,24.38,1.923,1,182,126.8,On,1/04/2022,0,2,6.944,0,100,0,0,100,4950.7,2.115,33.95,93.4,87,18.9,81.9,18.1,0.1,100,2.7,0,554.59,0.055,64,4.733,16.88,1/04/2022,Skip,Under Target
142.1350222,-36.74276944,V51,field_map_2022_04_01_000,Timok,30,24.38,1.934,1,180,126.8,On,1/04/2022,0,2,6.951,0,100,0,0,100,4979.4,2.04,31.88,91.3,89.9,19.15,81.9,18.1,0.1,100,2.7,0,563.49,0.056,64,4.658,16.97,1/04/2022,Skip,Under Target
142.1350224,-36.74278674,V51,field_map_2022_04_01_000,Timok,31,24.38,1.922,1,180,126.8,On,1/04/2022,0,2,6.972,0,100,0,0,100,4975.6,1.96,31.48,88.63,83.58,19.51,82,18,0.1,100,2.7,0,574.96,0.057,64,4.565,16.88,1/04/2022,Skip,Under Target
142.1350224,-36.74280414,V51,field_map_2022_04_01_000,Timok,32,24.38,1.933,1,180,126.8,On,1/04/2022,0,2,6.959,0,100,0,0,100,5033.3,1.915,31.9,92.45,87.35,19.28,80,20,0.1,100,3,0,581.15,0.058,64,4.516,16.97,1/04/2022,Skip,Under Target
142.1350202,-36.74282146,V51,field_map_2022_04_01_000,Timok,33,24.38,1.923,1,179,126.8,On,1/04/2022,0,2,6.949,0,100,0,0,100,5263.3,1.86,30.98,83.9,87.95,19.68,81.2,18.8,0.1,100,2.7,0,588.03,0.059,64,4.463,16.88,1/04/2022,Skip,Under Target
142.135021,-36.74283876,V51,field_map_2022_04_01_000,Timok,34,24.38,1.924,1,179,126.8,On,1/04/2022,0,2,6.936,0,100,0,0,100,5392.9,1.88,29.93,81.22,87.08,19.93,80.4,19.6,0.1,100,3,0,595.78,0.06,64,4.405,16.89,1/04/2022,Skip,Under Target
142.1350166,-36.7428559,V51,field_map_2022_04_01_000,Timok,35,24.38,1.891,1,177,126.8,On,1/04/2022,0,2,6.917,0,100,0,0,100,5444.9,1.9,29.78,79.13,87.8,20.03,82.6,17.4,0.1,100,2.7,0,604.53,0.06,64,4.342,16.6,1/04/2022,Skip,Under Target
142.1350306,-36.7428731,V51,field_map_2022_04_01_000,Timok,36,24.38,1.918,1,183,126.8,On,1/04/2022,0,2,6.912,0,100,0,0,100,5465.8,1.97,29.25,76.9,87.22,19.94,81,19,0.1,100,3,0,604.07,0.06,64,4.345,16.84,1/04/2022,Skip,Under Target
142.1350448,-36.74289177,V51,field_map_2022_04_01_000,Timok,37,24.38,1.924,1,190,126.8,On,1/04/2022,0,2,6.912,0,100,0,0,100,5513,2.03,29.53,67.9,90.08,20.17,82.8,17.2,0.1,100,2.7,0,612.81,0.061,64,4.283,16.89,1/04/2022,Skip,Under Target
142.1350454,-36.74290948,V51,field_map_2022_04_01_000,Timok,38,24.38,1.92,1,192,126.8,On,1/04/2022,0,2,6.939,0,100,0,0,100,5659.9,2.05,28.3,69.2,86.05,20.25,82.8,17.2,0.1,100,2.7,0,617.15,0.062,64,4.253,16.86,1/04/2022,Skip,Under Target
142.1350428,-36.74292673,V51,field_map_2022_04_01_000,Timok,39,24.38,1.923,1,193,126.8,On,1/04/2022,0,2,6.946,0,100,0,0,100,5922.3,1.955,29.07,76.08,88.2,20.31,82.4,17.6,0.1,100,2.7,0,621.69,0.062,64,4.222,16.88,1/04/2022,Skip,Under Target
142.1350441,-36.74294502,V51,field_map_2022_04_01_000,Timok,40,24.38,1.939,1,196,126.8,On,1/04/2022,0,2,6.948,0,100,0,0,100,6048.6,1.885,30.48,82.22,89.6,20.43,81.2,18.8,0.1,100,2.7,0,619.94,0.062,64,4.234,17.02,1/04/2022,Skip,Under Target
142.135042,-36.74296255,V51,field_map_2022_04_01_000,Timok,41,24.38,1.921,1,198,126.8,On,1/04/2022,0,2,6.949,0,100,0,0,100,6273.4,1.93,32.2,94.92,88.22,20.19,81,19,0.1,100,2.7,0,626.43,0.063,64,4.19,16.87,1/04/2022,Skip,Under Target
142.1350452,-36.74298184,V51,field_map_2022_04_01_000,Timok,42,24.38,1.914,1,203,126.8,On,1/04/2022,0,2,6.935,0,100,0,0,100,6464.4,1.99,31.5,88.22,87.28,20.64,81.1,18.9,0.1,100,2.7,0,630.18,0.063,64,4.165,16.8,1/04/2022,Skip,Under Target
142.1350486,-36.74300228,V51,field_map_2022_04_01_000,Timok,43,24.38,1.915,1,209,126.8,On,1/04/2022,0,2,6.93,0,100,0,0,100,6599.4,1.96,30.83,80.28,87.7,21.08,81.1,18.9,0.1,100,2.7,0,631.17,0.063,64,4.158,16.81,1/04/2022,Skip,Under Target
142.1350473,-36.74302188,V51,field_map_2022_04_01_000,Timok,44,24.38,1.922,1,214,126.8,On,1/04/2022,0,2,6.915,0,100,0,0,100,6695.9,1.985,31.63,83.63,86.5,20.85,81.4,18.6,0.1,100,2.7,0,632.31,0.063,64,4.151,16.87,1/04/2022,Skip,Under Target
142.1350442,-36.74304165,V51,field_map_2022_04_01_000,Timok,45,24.38,1.928,1,219,126.8,On,1/04/2022,0,2,6.931,0,100,0,0,100,6658.4,1.97,32.08,83.8,88.9,21.01,79.8,20.2,0.1,100,2.9,0,624.9,0.062,64,4.2,16.92,1/04/2022,Skip,Under Target
142.1350307,-36.74305525,V51,field_map_2022_04_01_000,Timok,46,24.38,1.931,1,219,126.8,On,1/04/2022,0,2,6.941,0,100,0,0,100,6488,1.965,33.6,90.92,88.88,20.78,82.2,17.8,0.1,100,2.7,0,631.63,0.063,64,4.155,16.95,1/04/2022,Skip,Under Target
142.1350117,-36.7430653,V51,field_map_2022_04_01_000,Timok,47,24.38,1.92,1,216,126.8,On,1/04/2022,0,2,6.946,0,100,0,0,100,6417.7,1.97,35.55,94.72,88.4,20.86,80.4,19.6,0.1,100,2.9,0,617.13,0.062,64,4.253,16.85,1/04/2022,Skip,Under Target
142.135001,-36.74308055,V51,field_map_2022_04_01_000,Timok,48,24.38,1.929,1,217,126.8,On,1/04/2022,0,2,6.943,0,100,0,0,100,6347.2,1.965,33.88,83.08,91.7,21.44,78.8,21.2,0.1,100,2.8,0,605.84,0.061,64,4.332,16.93,1/04/2022,Skip,Under Target
142.1349866,-36.7430933,V51,field_map_2022_04_01_000,Timok,49,24.38,1.903,1,216,126.8,On,1/04/2022,0,2,6.925,0,100,0,0,100,6282,1.985,35.33,93.83,92.4,20.67,78.5,21.5,0.1,100,2.8,0,601.92,0.06,64,4.361,16.7,1/04/2022,Skip,Under Target
142.1349692,-36.74310462,V51,field_map_2022_04_01_000,Timok,50,24.38,1.919,1,213,126.8,On,1/04/2022,0,2,6.919,0,100,0,0,100,6367,1.985,35.63,94,88.83,20.94,78.4,21.6,0.1,100,2.7,0,594.63,0.059,64,4.414,16.85,1/04/2022,Skip,Under Target
142.1349458,-36.7431137,V51,field_map_2022_04_01_000,Timok,51,24.38,1.917,1,207,126.8,On,1/04/2022,0,2,6.907,0,100,0,0,100,6551.7,2.035,35,94.88,89.4,21.5,79.8,20.2,0.1,100,2.8,0,605.03,0.061,64,4.338,16.83,1/04/2022,Skip,Under Target
142.1349325,-36.74312775,V51,field_map_2022_04_01_000,Timok,52,24.38,1.926,1,205,126.8,On,1/04/2022,0,2,6.92,0,100,0,0,100,6647.6,2.05,35.58,95.28,86.8,21.47,81.1,18.9,0.1,100,2.8,0,612.19,0.061,64,4.287,16.9,1/04/2022,Skip,Under Target
142.1349151,-36.74314066,V51,field_map_2022_04_01_000,Timok,53,24.38,1.926,1,201,126.8,On,1/04/2022,0,2,6.927,0,100,0,0,100,6649.4,2.01,36.15,93.42,88.1,21.76,80.7,19.3,0.1,100,2.8,0,604.04,0.06,64,4.345,16.91,1/04/2022,Skip,Under Target
142.1349038,-36.74315572,V51,field_map_2022_04_01_000,Timok,54,24.38,1.92,1,199,126.8,On,1/04/2022,0,2,6.935,0,100,0,0,100,6551.8,2.005,36.25,93.63,87.95,21.99,82.2,17.8,0.1,100,2.9,0,613.72,0.061,64,4.277,16.85,1/04/2022,Skip,Under Target
142.1348906,-36.74317062,V51,field_map_2022_04_01_000,Timok,55,24.38,1.932,1,196,126.8,On,1/04/2022,0,2,6.946,0,100,0,0,100,6479.4,2.02,34.85,84.22,91.15,22.44,82.6,17.4,0.1,100,2.6,0,618.86,0.062,64,4.241,16.96,1/04/2022,Skip,Under Target
142.1348805,-36.74318632,V51,field_map_2022_04_01_000,Timok,56,24.38,1.921,1,194,126.8,On,1/04/2022,0,2,6.952,0,100,0,0,100,6537.2,2.03,34.15,73.13,92.33,22.79,81.5,18.5,0.1,100,2.8,0,603.71,0.06,64,4.348,16.87,1/04/2022,Skip,Under Target
142.1348754,-36.74320322,V51,field_map_2022_04_01_000,Timok,57,24.38,1.932,1,194,126.8,On,1/04/2022,0,2,6.967,0,100,0,0,100,6481.6,2,32.83,59.77,90.08,23.4,81.2,18.8,0.1,100,2.8,0,602.17,0.06,64,4.359,16.96,1/04/2022,Skip,Under Target
142.1348701,-36.74322002,V51,field_map_2022_04_01_000,Timok,58,24.38,1.926,1,194,126.8,On,1/04/2022,0,2,6.951,0,100,0,0,100,6337.4,2,30.18,58.9,89.83,23.17,79.3,20.7,0.1,100,2.7,0,585.3,0.059,64,4.484,16.9,1/04/2022,Skip,Under Target
142.134867,-36.74323725,V51,field_map_2022_04_01_000,Timok,59,24.38,1.922,1,195,126.8,On,1/04/2022,0,2,6.951,0,100,0,0,100,6145.3,2,29.23,46.73,91.17,22.47,79.5,20.5,0.1,100,2.7,0,577.4,0.058,64,4.546,16.87,1/04/2022,Skip,Under Target
142.1348614,-36.74325415,V51,field_map_2022_04_01_000,Timok,60,24.38,1.943,1,195,126.8,On,1/04/2022,0,2,6.939,0,100,0,0,100,5986.6,1.915,29.32,62.95,89.65,22.13,79.8,20.2,0.1,100,2.7,0,573.33,0.057,64,4.578,17.06,1/04/2022,Skip,Under Target
142.134856,-36.74327095,V51,field_map_2022_04_01_000,Timok,61,24.38,1.928,1,195,126.8,On,1/04/2022,0,2,6.96,0,100,0,0,100,5997,1.865,28.48,58.77,89.5,22.94,81,19,0.1,100,2.8,0,578.86,0.058,64,4.534,16.92,1/04/2022,Skip,Under Target
142.1348504,-36.74328775,V51,field_map_2022_04_01_000,Timok,62,24.38,1.932,1,195,126.8,On,1/04/2022,0,2,6.962,0,100,0,0,100,6069.2,1.86,30.75,78.45,88.53,22.29,81.4,18.6,0.1,100,2.8,0,584.04,0.058,64,4.494,16.96,1/04/2022,Skip,Under Target
142.1348428,-36.74330402,V51,field_map_2022_04_01_000,Timok,63,24.38,1.921,1,194,126.8,On,1/04/2022,0,2,6.967,0,100,0,0,100,6027,1.885,31.75,79.5,89.38,22.43,82.4,17.6,0.1,100,2.9,0,583.34,0.058,64,4.499,16.87,1/04/2022,Skip,Under Target
142.1348356,-36.74332053,V51,field_map_2022_04_01_000,Timok,64,24.38,1.933,1,193,126.8,On,1/04/2022,0,2,6.959,0,100,0,0,100,5882,1.93,33.27,74.38,90.03,22.57,83,17,0.1,100,2.9,0,590.15,0.059,64,4.447,16.97,1/04/2022,Skip,Under Target
142.1348265,-36.74333666,V51,field_map_2022_04_01_000,Timok,65,24.38,1.922,1,191,126.8,On,1/04/2022,0,2,6.962,0,100,0,0,100,5742.8,1.915,33.13,77.55,88.2,22.63,82.2,17.8,0.1,100,2.8,0,584.21,0.058,64,4.493,16.87,1/04/2022,Skip,Under Target
142.1348224,-36.74335386,V51,field_map_2022_04_01_000,Timok,66,24.38,1.946,1,191,126.8,On,1/04/2022,0,2,6.972,0,100,0,0,100,5887.5,1.92,31.7,68.2,88.67,22.97,81.8,18.2,0.1,100,2.8,0,590.93,0.059,64,4.442,17.08,1/04/2022,Skip,Under Target
142.1348182,-36.74337086,V51,field_map_2022_04_01_000,Timok,67,24.38,1.926,1,191,126.8,On,1/04/2022,0,2,6.964,0,100,0,0,100,6142.2,1.935,29.5,70.5,88.22,22.5,81.4,18.6,0.1,100,2.8,0,596.34,0.06,64,4.401,16.9,1/04/2022,Skip,Under Target
142.1348164,-36.74338828,V51,field_map_2022_04_01_000,Timok,68,24.38,1.927,1,192,126.8,On,1/04/2022,0,2,6.97,0,100,0,0,100,6192,1.95,30.2,68.47,90.42,22.42,81.9,18.1,0.1,100,2.9,0,605.45,0.061,64,4.335,16.92,1/04/2022,Skip,Under Target
142.1348117,-36.74340518,V51,field_map_2022_04_01_000,Timok,69,24.38,1.924,1,192,126.8,On,1/04/2022,0,2,6.964,0,100,0,0,100,6263.7,2.005,28.45,67,88.08,22.36,81.2,18.8,0.1,100,2.8,0,601.91,0.06,64,4.361,16.89,1/04/2022,Skip,Under Target
142.1348114,-36.74342292,V51,field_map_2022_04_01_000,Timok,70,24.38,1.93,1,194,126.8,On,1/04/2022,0,2,6.962,0,100,0,0,100,6436.4,2.12,27.77,45.3,90.67,22.1,80.8,19.2,0.1,100,2.8,0,606.02,0.061,64,4.331,16.94,1/04/2022,Skip,Under Target
142.1348103,-36.74344062,V51,field_map_2022_04_01_000,Timok,71,24.38,1.923,1,196,126.8,On,1/04/2022,0,2,6.933,0,100,0,0,100,6669.2,2.19,26.7,53.88,89.25,22.18,81.3,18.7,0.1,100,2.8,0,604.41,0.06,64,4.343,16.88,1/04/2022,Skip,Under Target
142.1348066,-36.74345781,V51,field_map_2022_04_01_000,Timok,72,24.38,1.928,1,197,126.8,On,1/04/2022,0,2,6.943,0,100,0,0,100,6750.9,2.12,29.28,67.15,89.28,22.19,82.7,17.3,0.1,100,2.9,0,613.93,0.061,64,4.275,16.92,1/04/2022,Skip,Under Target
142.1347998,-36.74347421,V51,field_map_2022_04_01_000,Timok,73,24.38,1.92,1,197,126.8,On,1/04/2022,0,2,6.948,0,100,0,0,100,6697.8,2.065,30.52,70.38,89.55,22.25,80.8,19.2,0.1,100,2.8,0,592.75,0.059,64,4.428,16.86,1/04/2022,Skip,Under Target
142.1348017,-36.74349316,V51,field_map_2022_04_01_000,Timok,74,24.38,1.936,1,201,126.8,On,1/04/2022,0,2,6.967,0,100,0,0,100,6506.2,1.98,30.08,77.45,89.83,21.63,81.8,18.2,0.1,100,2.9,0,597.4,0.06,64,4.393,16.99,1/04/2022,Skip,Under Target
142.134794,-36.74350936,V51,field_map_2022_04_01_000,Timok,75,24.38,1.926,1,201,126.8,On,1/04/2022,0,2,6.951,0,100,0,0,100,6359.3,1.94,30.8,73.55,91.33,22.13,80.3,19.7,0.1,100,2.8,0,582.03,0.058,64,4.51,16.91,1/04/2022,Skip,Under Target
142.134782,-36.74352432,V51,field_map_2022_04_01_000,Timok,76,24.38,1.929,1,199,126.8,On,1/04/2022,0,2,6.957,0,100,0,0,100,6216.8,2,29.5,76.72,89.6,22.11,81.2,18.8,0.1,100,2.9,0,586.68,0.059,64,4.474,16.93,1/04/2022,Skip,Under Target
142.1347791,-36.74354196,V51,field_map_2022_04_01_000,Timok,77,24.38,1.929,1,201,126.8,On,1/04/2022,0,2,6.954,0,100,0,0,100,6070.5,2.055,30.05,86.1,86.33,21.89,80.1,19.9,0.1,100,2.8,0,579.28,0.058,64,4.531,16.94,1/04/2022,Skip,Under Target
142.1347731,-36.74355873,V51,field_map_2022_04_01_000,Timok,78,24.38,1.932,1,202,126.8,On,1/04/2022,0,2,6.951,0,100,0,0,100,6135.6,2.05,32.98,86.95,88,22.14,79.1,20.9,0.1,100,2.8,0,576.61,0.058,64,4.552,16.96,1/04/2022,Skip,Under Target
142.1347672,-36.74357554,V51,field_map_2022_04_01_000,Timok,79,24.38,1.925,1,203,126.8,On,1/04/2022,0,2,6.962,0,100,0,0,100,6212.6,2.045,34.75,89,87.08,22.25,80.2,19.8,0.1,100,2.8,0,584.14,0.058,64,4.493,16.9,1/04/2022,Skip,Under Target
142.1347588,-36.74359154,V51,field_map_2022_04_01_000,Timok,80,24.38,1.929,1,203,126.8,On,1/04/2022,0,2,6.964,0,100,0,0,100,6236.4,2.065,33,88.95,86.85,22.56,80.7,19.3,0.1,100,2.8,0,587.21,0.059,64,4.47,16.93,1/04/2022,Skip,Under Target
142.1347501,-36.74360754,V51,field_map_2022_04_01_000,Timok,81,24.38,1.939,1,203,126.8,On,1/04/2022,0,2,6.975,0,100,0,0,100,6236.4,1.995,32.9,88.15,87.2,22.63,81.7,18.3,0.1,100,2.9,0,597.61,0.06,64,4.392,17.02,1/04/2022,Skip,Under Target
142.1347438,-36.74362428,V51,field_map_2022_04_01_000,Timok,82,24.38,1.929,1,204,126.8,On,1/04/2022,0,2,6.972,0,100,0,0,100,6259.7,1.905,34,87.22,88.9,22.46,81.9,18.1,0.1,100,2.9,0,601.88,0.06,64,4.361,16.93,1/04/2022,Skip,Under Target
142.1347347,-36.74364008,V51,field_map_2022_04_01_000,Timok,83,24.38,1.934,1,204,126.8,On,1/04/2022,0,2,6.956,0,100,0,0,100,6255.9,1.885,34.2,88.83,88.8,22.56,81.4,18.6,0.1,100,2.8,0,595.56,0.06,64,4.407,16.97,1/04/2022,Skip,Under Target
142.1347335,-36.74365877,V51,field_map_2022_04_01_000,Timok,84,24.38,1.92,1,208,126.7,On,1/04/2022,0,2,6.962,0,100,0,0,100,6148.4,1.89,33.38,86.05,85.55,22.75,80.1,19.9,0.1,100,2.7,0,580.06,0.058,64,4.525,16.85,1/04/2022,Skip,Under Target
142.1347325,-36.74367812,V51,field_map_2022_04_01_000,Timok,85,24.38,1.903,1,213,126.8,On,1/04/2022,0,2,6.925,0,100,0,0,100,5991.7,1.9,32.48,80.55,86.42,22.57,80.1,19.9,0.1,100,2.7,0,579.01,0.058,64,4.533,16.7,1/04/2022,Skip,Under Target
